Removed Pin From Net: NetName=EN Pin=JP1-1
Removed Pin From Net: NetName=IN Pin=JP1-2
Removed Pin From Net: NetName=NetD1_1 Pin=JP4-1
Removed Pin From Net: NetName=IN Pin=JP4-2
Change Component Footprint: Designator=J2 Old Footprint=FCI 06-381-2PIN New Footprint=TE 282834-2
Change Component Footprint: Designator=JP1 Old Footprint=HIROSE DF13-2P-1.25H New Footprint=HDR1X2
Change Component Footprint: Designator=JP2 Old Footprint=HIROSE DF13-2P-1.25H New Footprint=HDR1X2
Change Component Footprint: Designator=JP4 Old Footprint=HIROSE DF13-2P-1.25H New Footprint=HDR1X2
Change Component Comment : Designator=JP1 Old Comment=DF13-2P-1.25H(75) New Comment=Header 2
Change Component Comment : Designator=JP2 Old Comment=DF13-2P-1.25H(75) New Comment=Header 2
Change Component Comment : Designator=JP4 Old Comment=DF13-2P-1.25H(75) New Comment=Header 2
Change Component Comment : Designator=J2 Old Comment=OQ0232510000G New Comment=282834-2
Change component parameters: Designator = "J2" ("J2"); Footprint = "FCI 06-381-2PIN"; UniqueID = "\XOAXYDUA" ("\XOAXYDUA")
Change component parameters (AddParameter): Name = "Color"; Value = "Green"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=282834&DocType=Customer+Drawing&DocLang=English"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://digikey.com/product-detail/en/te-connectivity-amp-connectors/282834-2/A98333-ND/1150135"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current"; Value = "10A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LastUpdated"; Value = "1/15/2020 4:15:38 AM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "TE Connectivity AMP Connectors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mating Orientation"; Value = "Horizontal with Board"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "Through Hole"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Levels"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Bulk"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "282834-2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Status"; Value = "Active"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pitch"; Value = "0.100" (2.54mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Positions Per Level"; Value = "2"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Price"; Value = "0.88"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "Buchanan"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "DigiKey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "A98333-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage"; Value = "150V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Wire Gauge"; Value = "16-30 AWG"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Wire Termination"; Value = "Screw - Rising Cage Clamp"; VariantName = "[No Variations]"
Change component parameters: Designator = "JP1" ("JP1"); Footprint = "HIROSE DF13-2P-1.25H"; UniqueID = "\DNAGDMMQ" ("\DNAGDMMQ")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters: Designator = "JP2" ("JP2"); Footprint = "HIROSE DF13-2P-1.25H"; UniqueID = "\RTOLRKFY" ("\RTOLRKFY")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Change component parameters: Designator = "JP4" ("JP4"); Footprint = "HIROSE DF13-2P-1.25H"; UniqueID = "\NNVBSNXQ" ("\NNVBSNXQ")
Change component parameters (AddParameter): Name = "LatestRevisionDate"; Value = "17-Jul-2002"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LatestRevisionNote"; Value = "Re-released for DXP Platform."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Publisher"; Value = "Altium Limited"; VariantName = "[No Variations]"
Added Pin To Net: NetName=IN Pin=JP1-1
Added Pin To Net: NetName=EN Pin=JP1-2
Added Pin To Net: NetName=IN Pin=JP4-1
Added Pin To Net: NetName=NetD1_1 Pin=JP4-2
